Model,RMSE,MAE,R2,Within_0.1,Within_0.5,Within_1.0
Random_Forest,0.3914325125306428,0.2820482913940845,0.8893931199352408,27.17692734331669,84.80310593455353,97.17138103161398
Gradient_Boosting,0.3981479611167424,0.28912506066675553,0.8855654033022153,24.681087077093732,84.41486411536329,97.33777038269551
XGBoost,0.4008211888002092,0.29119252981007354,0.8840235810416128,24.01552967276761,84.52579034941763,97.22684414864116
Linear_Regression,0.5466115420087467,0.4104440876439968,0.7843120181508869,16.860787576261785,68.66333887964502,93.17803660565723
Ridge_Regression,0.5473624516119108,0.4111714629027932,0.7837190067983344,16.80532445923461,68.05324459234609,93.34442595673876
Lasso_Regression,0.6363100073673345,0.48496138255053095,0.7077154507737962,15.862451469772601,60.12201885745979,88.01996672212978
