,count,mean,std,min,25%,50%,75%,max
latitude,9451.0,39.946558365704156,18.996832286776964,-65.4365,33.417833349999995,38.8173332,56.6479,86.513
longitude,9451.0,-110.58023797721934,68.76424951775176,-179.9687,-149.6984,-122.4475,-112.6043333,179.9966
depth,9451.0,21.358118078502383,50.809671518160684,-3.17,2.8161499665000003,7.25,14.3,660.826
gap,9451.0,103.4370108255994,54.59811814432695,10.0,70.0,89.91,119.0,357.0
rms,9451.0,0.29089815038588507,0.28135081892169495,0.0,0.1,0.1771,0.46,2.93
horizontalError,9451.0,1.6284279010658131,27.223452664660602,0.0,0.33,0.46,0.66,2626.244209
depthError,9451.0,2.113350843821077,9.483876843152142,0.0,0.4,0.72,1.5,494.7
year,9451.0,2023.7870066659614,0.40944463852766755,2023.0,2024.0,2024.0,2024.0,2024.0
month,9451.0,3.3429266744259865,4.503891023804343,1.0,1.0,1.0,1.0,12.0
day,9451.0,16.6318908052058,9.418030372452353,1.0,8.0,17.0,25.0,31.0
hour,9451.0,29.476351708813883,17.48965972547498,0.0,14.0,29.0,45.0,59.0
dayofweek,9451.0,3.047508200190456,1.9344186559037349,0.0,1.0,3.0,5.0,6.0
quarter,9451.0,1.6389800021161782,1.2283339155830024,1.0,1.0,1.0,1.0,4.0
month_sin,9451.0,0.39350333298063683,0.20472231926383383,-2.4492935982947064e-16,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
month_cos,9451.0,0.8945610997088833,0.054855180119370704,0.8660254037844387,0.8660254037844387,0.8660254037844387,0.8660254037844387,1.0
hour_sin,9451.0,0.12979093053526056,0.6915367272959844,-1.0,-0.5000000000000004,0.258819045102521,0.7071067811865486,1.0
hour_cos,9451.0,0.01761836246389083,0.7104399109720357,-1.0,-0.7071067811865479,5.51091059616309e-16,0.7071067811865478,1.0
distance_from_center,9451.0,49.039362428674906,53.18209320164054,1.2530674363337326,19.3589938755651,24.29547428882598,58.01621149086569,297.3001778411846
distance_to_san_andreas,9451.0,39.08153776215656,60.628891555948556,0.04911720676097143,4.166746897450967,22.723321402098534,40.38040409159217,316.64909466489877
distance_to_coast,9451.0,29.28486392456883,48.64701215049469,0.0023333000000036463,7.191499999999998,20.497,27.270533350000008,254.9966
distance_to_pacific,9451.0,35.0398437210983,60.897889772335695,0.0023333000000036463,7.3417499999999976,21.019000000000005,30.128916700000005,304.9966
distance_to_atlantic,9451.0,64.0665898341657,43.470070565983356,0.24580000000000268,41.41833335,47.8065033,77.0865,254.9966
is_shallow,9451.0,0.6221563855676648,0.4848738943525049,0.0,0.0,1.0,1.0,1.0
is_intermediate,9451.0,0.29816950587239444,0.4574785197434122,0.0,0.0,0.0,1.0,1.0
is_deep,9451.0,0.07967410855994075,0.27080233449056756,0.0,0.0,0.0,0.0,1.0
depth_error_ratio,9451.0,6.08112549546961,475.63058036252284,-1580.5000000000002,0.03374798824860781,0.11070110701107011,0.24660605688310094,46040.0
horizontal_error_ratio,9451.0,1.1378699162431443,7.875193693438622,-273.68096144040794,0.027995869880799037,0.07528641571194764,0.16130706182901983,254.0
measurement_quality,9451.0,1.9492968152440264,119.08938959220629,-400.7177777777778,0.13798684479150716,0.1953639945781881,0.2900308555985418,11521.7474375
is_good_coverage,9451.0,0.6128452015659719,0.487125310359235,0.0,0.0,1.0,1.0,1.0
is_poor_coverage,9451.0,0.10210559729129193,0.3028031470858074,0.0,0.0,0.0,0.0,1.0
depth_x_distance,9451.0,1955.6813959518233,8058.02857931525,-235.24471569995325,60.47124691131001,164.57098551838558,917.8274648804245,179890.31482202624
depth_x_lat,9451.0,633.0294420804589,1782.1359222753567,-13442.785673999999,89.302673965,241.250866884,521.19252,14429.672827200002
gap_x_depth,9451.0,2139.1580071469,4844.374950375806,-789.0,241.5649982745,610.0,1663.335,93837.292
rms_x_depth,9451.0,10.829711184202536,36.58356802316436,-1.0131,0.2822,1.2544,5.048,647.60948
latitude_squared,9451.0,1956.568977915837,1251.6036921666646,6.76e-06,1122.45100925,1507.0312202500002,3254.92690162872,7484.499169000001
longitude_squared,9451.0,16956.010723082316,6196.105281956022,5.703499239999999,13500.058007569338,15076.974008746565,22548.431035145,32398.77601156
depth_squared,9451.0,3037.518768954925,22177.553653754883,0.0,8.0089,52.5625,204.49,436691.00227600004
magType_encoded,9451.0,3.192783832398688,1.3839116349963474,0.0,2.0,4.0,4.0,8.0
net_encoded,9451.0,5.079885726378161,4.510642163559519,0.0,1.0,5.0,9.0,14.0
type_encoded,9451.0,0.04909533382710824,0.4157252558731754,0.0,0.0,0.0,0.0,4.0
status_encoded,9451.0,0.7585440694106443,0.4279887214054525,0.0,1.0,1.0,1.0,1.0
region_encoded,9451.0,1.205057665855465,0.9189710281845401,0.0,0.0,2.0,2.0,2.0
seismic_zone_encoded,9451.0,3.2162734102211408,2.1112933208629308,0.0,0.0,4.0,5.0,7.0
seismic_risk_encoded,9451.0,2.188234049306952,1.0732993993592193,0.0,1.0,3.0,3.0,3.0
depth_category_encoded,9451.0,3.0925827954713787,1.2972086456158805,0.0,2.0,4.0,4.0,4.0
mag,9451.0,1.6311205163675802,1.23829914215969,-1.27,0.86,1.4,2.0,7.5
